Gen,HV
0,3.5477799999999444
1,3.5862469999999425
2,6.134398999999884
3,6.578758999999868
4,6.597700999999869
5,6.393620999999872
6,7.582278999999917
7,11.840848999999885
8,11.840848999999885
9,12.28382399999988
10,12.28382399999988
11,12.484452999999872
12,12.484452999999872
13,13.74397899999986
14,13.926983999999836
15,14.462411999999901
16,14.4619179999999
17,13.957390999999909
18,13.957390999999909
19,13.389635999999907
20,18.695753999999905
21,20.564529999999912
22,20.311199999999907
23,20.594699999999904
24,21.32339999999983
25,21.420059999999822
26,21.420059999999822
27,22.49187499999981
28,20.631475999999807
29,20.504555999999816
30,20.513349999999825
31,20.978130999999827
32,20.53938399999983
33,20.85131799999983
34,20.958395999999833
35,20.872531999999836
36,20.892877999999836
37,20.697446999999837
38,20.61464399999983
39,20.71217799999982
40,20.904716999999803
41,22.109253999999808
42,21.407849999999808
43,21.64033899999983
44,20.741956999999836
