gen,avg_obj0,avg_obj1,min_obj0,min_obj1,max_obj0,max_obj1,std_obj0,std_obj1
0,-2.1386999999999996,-1305.9311,-2.286,-1313.094,-2.014,-1301.929,0.07092679324486628,2.9892595889283404
1,-2.1571000000000007,-1306.1499,-2.299,-1313.094,-2.014,-1302.673,0.09093673625108833,2.782776722987329
2,-2.2148999999999996,-1306.5773,-2.407,-1314.272,-2.077,-1301.723,0.09595254035198862,3.4828263249837517
3,-2.259,-1305.645,-2.463,-1314.272,-2.085,-1298.852,0.12340016207444787,4.802472092578947
4,-2.3016,-1305.9215,-2.463,-1314.272,-2.112,-1297.478,0.11950079497643522,5.299571930826076
5,-2.2747,-1303.7597,-2.469,-1314.272,-2.135,-1292.28,0.10447013927434004,6.1265898842667585
6,-2.2755,-1303.9692,-2.469,-1317.018,-2.036,-1290.21,0.11753403762314979,8.020308108794808
7,-2.3330000000000006,-1308.192,-2.567,-1319.962,-2.036,-1295.29,0.14389927032476574,7.020596926187985
8,-2.3537,-1308.1745999999998,-2.567,-1319.962,-2.116,-1295.29,0.12218187263256362,7.781116477729949
9,-2.3585000000000003,-1307.816,-2.596,-1319.962,-2.027,-1291.629,0.1552064753803784,8.531563948069595
10,-2.3948000000000005,-1308.8111,-2.596,-1319.962,-2.222,-1299.832,0.12422705019439205,7.812705683052447
11,-2.4533999999999994,-1309.4885000000002,-2.617,-1319.962,-2.222,-1299.832,0.1351852062912211,7.958820393123554
12,-2.4758000000000004,-1311.1439,-2.617,-1319.962,-2.222,-1300.543,0.1307515200676459,7.290454066105902
13,-2.4999000000000002,-1314.9453999999998,-2.623,-1321.781,-2.33,-1300.543,0.09555464405250014,6.411830069488761
14,-2.476,-1313.6499,-2.625,-1321.781,-2.22,-1295.333,0.11383584672676698,7.483811641803886
15,-2.4566,-1313.2019,-2.64,-1322.162,-2.206,-1294.71,0.1325995475105402,8.026852975481725
16,-2.4414,-1310.4660000000001,-2.64,-1322.162,-2.206,-1290.801,0.12282687002443722,9.995652655029602
17,-2.4504000000000006,-1311.8212,-2.611,-1322.162,-2.299,-1290.801,0.10408093004964931,8.960266567463293
18,-2.4485,-1310.2947,-2.611,-1322.162,-2.308,-1291.866,0.11163444808839251,8.589112445998145
19,-2.4264,-1307.9699999999998,-2.582,-1322.162,-2.308,-1291.866,0.10158661329131902,9.100270512462794
20,-2.4511000000000003,-1309.5134,-2.652,-1327.162,-2.298,-1291.866,0.13467995396494611,10.669903825246056
21,-2.5027,-1315.0771,-2.652,-1329.729,-2.315,-1291.866,0.12726433121656672,11.489900804184526
22,-2.5148,-1317.3174000000001,-2.642,-1329.729,-2.292,-1302.553,0.13540886233921323,8.526060909939583
23,-2.4669,-1314.0066,-2.657,-1329.729,-2.292,-1302.553,0.15785148082929093,9.517156142461873
24,-2.4335,-1311.8472,-2.686,-1329.917,-2.292,-1295.832,0.14144345159815636,11.792927599201095
25,-2.5027999999999997,-1315.3062,-2.691,-1329.917,-2.285,-1301.66,0.16013169580067527,10.171132992936416
26,-2.5654999999999997,-1317.8331,-2.691,-1329.917,-2.285,-1301.66,0.1399351635579849,8.690899785983012
27,-2.5703,-1316.3896,-2.763,-1329.917,-2.293,-1296.717,0.14504761287246334,10.174145961209673
28,-2.5182,-1316.4460000000001,-2.694,-1329.917,-2.293,-1296.717,0.13492501621270978,10.249796476028154
29,-2.5086000000000004,-1314.6179,-2.67,-1329.917,-2.305,-1293.217,0.13429832463586425,10.96514509206327
30,-2.5509,-1319.1631,-2.67,-1329.917,-2.321,-1307.41,0.10150709334819898,8.067167377090882
31,-2.5561999999999996,-1319.8957999999998,-2.695,-1329.917,-2.373,-1300.146,0.08923205701988486,9.235408489070734
32,-2.5653,-1315.3129999999999,-2.695,-1329.917,-2.373,-1300.146,0.08669953863775738,9.998162861246056
33,-2.5947,-1320.2215,-2.683,-1329.917,-2.499,-1302.84,0.06219493548513412,7.387608290238471
34,-2.6086,-1320.9403,-2.683,-1329.917,-2.499,-1304.431,0.0673560687688941,6.719171735415003
35,-2.6122,-1319.841,-2.679,-1329.917,-2.499,-1304.431,0.06638041879952244,6.850192084898053
36,-2.5974999999999997,-1318.2839000000001,-2.685,-1329.917,-2.499,-1304.431,0.0657301300774614,8.097518514335102
37,-2.6249,-1314.3921999999998,-2.685,-1329.917,-2.499,-1301.275,0.05541380694375719,9.215268751371259
38,-2.627,-1315.721,-2.703,-1329.917,-2.499,-1302.997,0.060174745533321465,8.026738141985193
39,-2.6317,-1316.8418,-2.713,-1329.917,-2.499,-1302.997,0.06816017899037531,7.707489809269915
40,-2.6238,-1319.2685999999999,-2.724,-1329.917,-2.499,-1310.759,0.07514891882123126,6.258935455810336
41,-2.626,-1320.4518,-2.744,-1329.917,-2.499,-1310.759,0.07290404652692471,6.310999727459963
42,-2.6279999999999997,-1317.5089000000003,-2.724,-1329.917,-2.494,-1301.842,0.08061885635507365,9.657352436874156
43,-2.6115,-1318.6224000000002,-2.724,-1329.917,-2.409,-1296.502,0.092048085259825,9.86490748258695
44,-2.5974999999999997,-1316.6756,-2.668,-1329.917,-2.496,-1296.266,0.06596552129711401,12.826327581969839
